tag_id,language_id,example,iso_transliteration,accuracy,sanskrit_translation,english_translation,markers
1,1,तिलेषु तैलम्,tilēṣu tailam,,,,
1,2,घर मे बैठा है।,ghara mē baiṭhā hai.,,,,
1,3,ಮನೆಯಲ್ಲಿ ಕುಳಿತಿದ್ದಾನೆ,maneyalli kuḷitiddāne,,,,
2,1,कटे आस्ते,kaṭē āstē,,,,
2,2,छत पर बैठा है।,chata para baiṭhā hai.,,,,
2,3,ಕೋಲ್ಕತ್ತಾದಲ್ಲಿರುವ ಪ್ರಸಿದ್ಧ ಕಾಳಿಮಾತೆಯ ದೇವಾಲಯವು ತುಂಬಾ ಭವ್ಯವಾಗಿದೆ,Kōlkattādalliruva prasiddha kāḷi\_māteya dēvālayavu tuṁbā bhavyavāgide.,,,,
3,1,गङ्गायां घोषः।,gaṅgāyāṁ ghōṣaḥ.,,,,
3,2,,,,,,
3,3,,,,,,
4,1,दुग्घात् दधिः।,dugghāt dadhiḥ.,,,,
4,2,दूध से दही।,dūdha sē dahī.,,,,
4,3,ಹಾಲಿನಿಂದ ಮೊಸರಾಗಿದೆ.,hāliniṁda mosarāgide.,,,,
5,1,वृक्षात् पर्णं पतति।,vr̥kṣāt parṇaṁ patati.,,,,
5,2,"गोपाल शर्मा ने बताया कि अहमदाबाद में मारा गया आतंकी बाबर , [घाटी से] ही वहां भेजा गया था ।
word: घाटी        head: भेजा","gōpāla śarmā nē batāyā ki ahamadābāda mēṁ mārā gayā ātaṁkī bābara , [ghāṭī sē] hī vahāṁ bhējā gayā thā .
word: ghāṭī head: bhējā","Training support - 1183
Test support - 166
Accuracy - 62.65",,,
5,3,"ವೃಕ್ಷದಿಂದ ಎಲೆಯು ಬೀಳುತ್ತದೆ. ವೃಕ್ಷದಿಂದ - from the tree.  Vr̥kṣadinda eleyu bīḷuttade. Vr̥kṣadinda - from the tree.
","vr̥kṣadiṁda eleyu bīḷuttade. vr̥kṣadiṁda - from the tree. Vr̥kṣadinda eleyu bīḷuttade. Vr̥kṣadinda - from the tree.
","Training support -
Test support -
Accuracy - ",,,
6,1,"मृदः घटः।
शृङ्गात् शरः।
गोमयात् वृश्चिकः।","mr̥daḥ ghaṭaḥ.
śr̥ṅgāt śaraḥ.
gōmayāt vr̥ścikaḥ.",,,,
6,2,[चमडे से] बनी चप्पल।,[camaḍē sē] banī cappala.,,,,
6,3,ಮಣ್ಣಿನಿಂದ ಮಡಿಕೆಯು ಆಗಿದೆ. ,maṇṇiniṁda maḍikeyu āgide.,,,,
7,1,रामेण सीता वनं गच्छति।,rāmēṇa sītā vanaṁ gacchati.,,,,
7,2,,,,,,
7,3,,,,,,
8,1,रामेण सह सीता वनं गच्छति।,rāmēṇa saha sītā vanaṁ gacchati.,,,,
8,2,"राम के साथ सीता वन में गई।
राम संग सीता वन गई।","rāma kē sātha sītā vana mēṁ gaī.
rāma saṁga sītā vana gaī.",,,,
8,3,,,,,,
9,1,चन्द्रम् इव मुखं पश्य। चन्द्रं --> इव--> मुखं -- >पश्य ; चन्द्रम् --इव सुन्दरं --->मुखं OR पश्य चन्द्र--- इव-->सुन्दर-->मुख--,candram iva mukhaṁ paśya. candraṁ --> iva--> mukhaṁ -- >paśya ; candram --iva sundaraṁ --->mukhaṁ or paśya candra--- iva-->sundara-->mukha--,,,,
9,2,"पुलिस कमिश्नर ने दोहराया कि हमले का तौर तरीका अल कायदा आतंकियों जैसा ही है ।
word: आतंकियों        head: है","pulisa kamiśnara nē dōharāyā ki hamalē kā taura tarīkā ala kāyadā ātaṁkiyōṁ jaisā hī hai .
word: ātaṁkiyōṁ head: hai","Training support -
Test support -
Accuracy - ",,,
9,3,"ಚಂದ್ರನ ಹಾಗೆ ಇರುವ ಮುಖವನ್ನು ನೋಡು. ಚಂದ್ರನ ಹಾಗೆ- like chandra                                                                  Candrana hāge iruva mukhavannu nōḍu. Candrana hāge- like chandra
","caṁdrana hāge iruva mukhavannu nōḍu. caṁdrana hāge- like chandra Candrana hāge iruva mukhavannu nōḍu. Candrana hāge- like chandra
",,,,
10,1,बालः कुञ्चिकया तालम् उद्घाटयति। ,bālaḥ kuñcikayā tālam udghāṭayati.,,,,
10,2,"हिमाचल प्रदेश में भी लाहौल , स्पीति और पिन बर्फ की सफेद चादर से ढके हुए हैं ।
word: चादर        head: ढके","himācala pradēśa mēṁ bhī lāhaula , spīti aura pina barpha kī saphēda cādara sē ḍhakē huē haiṁ .
word: cādara head: ḍhakē","Training support - 522
Test support - 63
Accuracy - 25.4",,,
10,3,"ಮಗುವು ಬೀಗದಕೈನಿಂದ ಬೀಗವನ್ನು ತೆಗೆಯಿತು. ಬೀಗದಕೈನಿಂದ - key  Maguvu bīgadakaininda bīgavannu tegeyitu. Bīgadakaininda - key.
.","maguvu bīgadakainiṁda bīgavannu tegeyitu. bīgadakainiṁda - key Maguvu bīgadakaininda bīgavannu tegeyitu. Bīgadakaininda - key.
.",,,,
11,1,"रामः पचति।
रामेण गम्यते","rāmaḥ pacati.
rāmēṇa gamyatē",,,,
11,2,"उत्तर प्रदेश , बिहार और झारखंड की पुलिस उसे पिछले एक दशक से तलाश रही थी .
word: पुलिस        head: तलाश
","uttara pradēśa , bihāra aura jhārakhaṁḍa kī pulisa usē pichalē ēka daśaka sē talāśa rahī thī .
word: pulisa head: talāśa
","Training support - 19332
Test support - 2302
Accuracy - 91.23",,,
11,3,"ರಾಮನು ಅಡುಗೆಯನ್ನು ಮಾಡುತ್ತಾನೆ.   Rāmanu aḍugeyannu māḍuttāne.
","rāmanu aḍugeyannu māḍuttāne. Rāmanu aḍugeyannu māḍuttāne.
",,,,
12,1,"अहं त्वां मूढं मन्ये।
अहं त्वां तृणं मन्ये।
मम रामः बुद्धिमान् इति भाति।
Verb semantics: भाति, भासते but not with मन्-मन्यते। but मम मन्तव्यं रामः बुद्धिमान् इति।","ahaṁ tvāṁ mūḍhaṁ manyē.
ahaṁ tvāṁ tr̥ṇaṁ manyē.
mama rāmaḥ buddhimān iti bhāti.
verb semantics: bhāti, bhāsatē but not with man-manyatē. but mama mantavyaṁ rāmaḥ buddhimān iti.",,,,
12,2,मुझ को राम बुद्धिमान् लगता है। ,mujha kō rāma buddhimān lagatā hai.,"Training support - 410
Test support - 27
Accuracy - 37.04",,,
12,3,"ನನಗೆ ರಾಮನು ಬುದ್ಧಿವಂತನೆಂದು ಅನಿಸುತ್ತದೆ.  Nanage rāmanu bud'dhivantanendu anisuttade.
","nanage rāmanu buddhivaṁtaneṁdu anisuttade. Nanage rāmanu bud'dhivantanendu anisuttade.
","Training support - 561
Test support - 144
Accuracy - ",,,
13,1,"रामस्य गमनं।
Word: Head","rāmasya gamanaṁ.
word: head",,,,
13,2,"रिपोर्ट में बताया गया है कि मात्र २० से २५ फीसदी तक ही मामले में इसका सही उपयोग हो रहा है ।
word: इसका	head: उपयोग
","ripōrṭa mēṁ batāyā gayā hai ki mātra 20 sē 25 phīsadī taka hī māmalē mēṁ isakā sahī upayōga hō rahā hai .
word: isakā head: upayōga
","Training support - 520
Test support - 28
Accuracy - 32.14",,,
13,3,"ರಾಮನ ಗಮನ. Rāmana gamana.
Word: Head","rāmana gamana. Rāmana gamana.
Word: Head","Training support - 19
Test support - 9
Accuracy - ",,,
14,1,देवदत्तः विश्वामित्रेण ओदनं पाचयति।,dēvadattaḥ viśvāmitrēṇa ōdanaṁ pācayati.,,,,
14,2,"राहत शिविरों में मठ के लोग भोजन उपलब्ध करा रहे हैं ।
word: लोग        head: करा                       (8)","rāhata śivirōṁ mēṁ maṭha kē lōga bhōjana upalabdha karā rahē haiṁ .
word: lōga head: karā (8)","Training support - 8
Test support - 0
Accuracy - 0",,,
14,3,"ದೇವದತ್ತನು ವಿಶ್ವಾಮಿತ್ರನಿಂದ ಅನ್ನವನ್ನು ಮಾಡಿಸುತ್ತಾನೆ. Dēvadattanu viśvāmitraninda annavannu māḍisuttāne.
 ","dēvadattanu viśvāmitraniṁda annavannu māḍisuttāne. Dēvadattanu viśvāmitraninda annavannu māḍisuttāne.
",no examples,,,
15,1,देवदत्तः विश्वामित्रेण ओदनं पाचयति। ,dēvadattaḥ viśvāmitrēṇa ōdanaṁ pācayati.,,,,
15,2,देवदत्त विश्वामित्र से खाना बनवाता है।,dēvadatta viśvāmitra sē khānā banavātā hai.,"Training support - 10
Test support -0
Accuracy - 0",,,
15,3," Dēvadattanu viśvāmitraninda annavannu māḍisidanu.
ದೇವದತ್ತನು ವಿಶ್ವಾಮಿತ್ರನಿಂದ ಅನ್ನವನ್ನು ಮಾಡಿಸಿದನು."," Dēvadattanu viśvāmitraninda annavannu māḍisidanu.
dēvadattanu viśvāmitraniṁda annavannu māḍisidanu.",no examples,,,
16,1,माता धात्र्या पुत्रं दुग्धं पाययति।,mātā dhātryā putraṁ dugdhaṁ pāyayati.,,,,
16,2,"सूत्रों ने कुछ और दावेदारों द्वारा सोनिया से मुलाकात किए जाने की बात कही है ।
word: दावेदारों        head: कही                            (1)","sūtrōṁ nē kucha aura dāvēdārōṁ dvārā sōniyā sē mulākāta kiē jānē kī bāta kahī hai .
word: dāvēdārōṁ head: kahī (1)","Training support - 1
Test support -0
Accuracy - 0",,,
16,3,"ತಾಯಿಯು ಧಾತ್ರಿಯಿಂದ ಮಗನಿಗೆ ಹಾಲನ್ನು ಕುಡಿಸಿದಳು. ಧಾತ್ರಿಯಿಂದ- with the help of dhaatri. Tāyiyu dhātriyinda maganige hālannu kuḍisidaḷu. Dhātriyinda- with the help of dhaatri.
","tāyiyu dhātriyiṁda maganige hālannu kuḍisidaḷu. dhātriyiṁda- with the help of dhaatri. Tāyiyu dhātriyinda maganige hālannu kuḍisidaḷu. Dhātriyinda- with the help of dhaatri.
",no examples,,,
17,1,,,,,,
17,2,"खुद कांग्रेस अध्यक्ष सोनिया गांधी ने केरल में वामदलों को अपना सबसे बड़ा विरोधी कहा है ।
word: खुद	head: गांधी
","khuda kāṁgrēsa adhyakṣa sōniyā gāṁdhī nē kērala mēṁ vāmadalōṁ kō apanā sabasē baṛā virōdhī kahā hai .
word: khuda head: gāṁdhī
","Training support - 43
Test support - 5
Accuracy - 80",,,
17,3,,,no examples,,,
18,1,"रामेण ग्रामः गम्यते।
 शत्रून् जयति।
रामेण प्रजानां शासनं क्रियते।  ","rāmēṇa grāmaḥ gamyatē.
śatrūn jayati.
rāmēṇa prajānāṁ śāsanaṁ kriyatē. ",,,,
18,2,"उत्तर प्रदेश , बिहार और झारखंड की पुलिस उसे पिछले एक दशक से तलाश रही थी .
word: उसे        head: तलाश
","uttara pradēśa , bihāra aura jhārakhaṁḍa kī pulisa usē pichalē ēka daśaka sē talāśa rahī thī .
word: usē head: talāśa
","Training support - 14350
Test support - 1926
Accuracy - 78.66",,,
18,3,In kannada bhaave prayoga is not used . ,In kannada bhaave prayoga is not used .,,,,
19,1,"श्लोकस्य पाठः।
आश्चर्यो गवां दोहोऽगोपालकेन।
रोचते ओदनस्य भोजनं देवदत्तेन।
साधु खलु पयसः पानं देवदत्तेन।
विचित्रा सूत्रस्य कृतिः पाणिनिना।
word:  श्लोकस्य  Head: पाठः","ślōkasya pāṭhaḥ.
āścaryō gavāṁ dōhō’gōpālakēna.
rōcatē ōdanasya bhōjanaṁ dēvadattēna.
sādhu khalu payasaḥ pānaṁ dēvadattēna.
vicitrā sūtrasya kr̥tiḥ pāṇininā.
word: ślōkasya head: pāṭhaḥ",,,,
19,2,"मौसम विभाग ने यहां अगले २४ घंटे में आंधी - तूफान की आशंका जताई है ।
word: तूफान	head: आशंका","mausama vibhāga nē yahāṁ agalē 24 ghaṁṭē mēṁ āṁdhī - tūphāna kī āśaṁkā jatāī hai .
word: tūphāna head: āśaṁkā","Training support - 2396
Test support - 277
Accuracy - 86.28",,,
19,3,"ಶ್ಲೋಕದ ಪಾಠ. Ślōkada pāṭha.
word: Head: ","ślōkada pāṭha. Ślōkada pāṭha.
word: Head: ","Training support - 2
Test support - 1
Accuracy - ",,,
20,1,रामः ग्रामाय गच्छति।?  रामः ग्रामं गच्छति।,rāmaḥ grāmāya gacchati.? rāmaḥ grāmaṁ gacchati.,,,,
20,2,"राम घर गया।    वह सब को अपने घर बुलाते है।  राम को दिल्ली जाना पडा।  बुश बुधवार रात को ही दिल्ली पहुंच चुके हैं ।
word: दिल्ली        head: पहुंच
","rāma ghara gayā. vaha saba kō apanē ghara bulātē hai. rāma kō dillī jānā paḍā. buśa budhavāra rāta kō hī dillī pahuṁca cukē haiṁ .
word: dillī head: pahuṁca
","Training support - 450
Test support - 48
Accuracy - 62.5",,,
20,3,"ರಾಮನು ಗ್ರಾಮಕ್ಕೆ ಹೋಗುತ್ತಾನೆ. ಗ್ರಾಮಕ್ಕೆ - to graama    Rāmanu grāmakke hōguttāne. Grāmakke - to graama
ಊಟಕ್ಕಾಗಿ ಹೋಗುತ್ತಾನೆ (sanskrit chaturthi)","rāmanu grāmakke hōguttāne. grāmakke - to graama Rāmanu grāmakke hōguttāne. Grāmakke - to graama
ūṭakkāgi hōguttāne (sanskrit chaturthi)","Training support - 660
Test support - 180
Accuracy - ",,,
21,1,"गौणकर्म - सः अजां ग्रामं (गौणकर्म) नयति।  गोपालः गां दुग्धं दोग्धि।
Glos: cowherd{nom} cow{acc} milk{ac} milches.
Eng: The cowherd milches the milk from/of the cow.
Analysis:
1 गोपालः कर्ता,4
2 गां गौणकर्म,4
3 दुग्धं मुख्यकर्म,4
4 दोग्धि","gauṇakarma - saḥ ajāṁ grāmaṁ (gauṇakarma) nayati. gōpālaḥ gāṁ dugdhaṁ dōgdhi.
glos: cowherd{nom} cow{acc} milk{ac} milches.
eng: the cowherd milches the milk from/of the cow.
analysis:
1 gōpālaḥ kartā,4
2 gāṁ gauṇakarma,4
3 dugdhaṁ mukhyakarma,4
4 dōgdhi",,,,
21,2,गोपाल गाय का दूध निकालता है। वैज्ञानिक इसे ' बेबी प्लेनेट ' भी कह रहे हैं . ,gōpāla gāya kā dūdha nikālatā hai. vaijñānika isē ' bēbī plēnēṭa ' bhī kaha rahē haiṁ .,"Training support - 38
Test support - 1
Accuracy - 0",,,
21,3,ಗೌಣ ಕರ್ಮ- ಅವನು ಮೇಕೆಯನ್ನು ಗ್ರಾಮಕ್ಕೆ ಕರೆದುಕೊಂಡುಹೋಗುತ್ತಾನೆ.                                                            ಗೋಪಾಲನು ಗೋವಿನ / ಗೋವಿನಿಂದ ಹಾಲನ್ನು ಕರೆದನು. ,gauṇa karma- avanu mēkeyannu grāmakke karedukoṁḍuhōguttāne. gōpālanu gōvina / gōviniṁda hālannu karedanu.,"Training support - 113
Test support - 45
Accuracy - ",,,
22,1,Word: Head:    ,word: head:,,,,
22,2,"चाबी मेज़ पर रख दो  which means “मेज पर चाबी रखो” Morphological indicator: Compound verbs are formed by combining the stem of a main verb with an inflected form of an auxiliary verb. The main verb provides the basic meaning, and the auxiliary modifies the meaning with some nuance. उदाहरण:  उठ बैठा, रख लो, लिख दो","cābī mēza para rakha dō which means “mēja para cābī rakhō” morphological indicator: compound verbs are formed by combining the stem of a main verb with an inflected form of an auxiliary verb. the main verb provides the basic meaning, and the auxiliary modifies the meaning with some nuance. udāharaṇa: uṭha baiṭhā, rakha lō, likha dō",,,,
22,3, Word: Head:    ,Word: Head:,no examples,,,
23,1,,,,,,
23,2,,,,,,
23,3,,,no examples,,,
24,1,,,,,,
24,2,"उत्तर प्रदेश , बिहार और झारखंड की पुलिस उसे पिछले एक दशक से तलाश रही थी .
word: थी	head: रही","uttara pradēśa , bihāra aura jhārakhaṁḍa kī pulisa usē pichalē ēka daśaka sē talāśa rahī thī .
word: thī head: rahī","Training support - 5717
Test support - 727
Accuracy - 99.45
(not present in kannada data)",,,
24,3,,,no example,,,
25,1,,,,,,
25,2,"पांच लाख का इनामी और कुख्यात स्वयंभू नक्सल कमांडर कमलेश्वर बैठा पटना के बाहरी इलाके में पकड़ा गया है .
word: गया	head: पकड़ा","pāṁca lākha kā ināmī aura kukhyāta svayaṁbhū naksala kamāṁḍara kamalēśvara baiṭhā paṭanā kē bāharī ilākē mēṁ pakaṛā gayā hai .
word: gayā head: pakaṛā","Training support - 13494
Test support - 1647
Accuracy - 98.3

(not present in kannada data)",,,
25,3,,,no example,,,
26,1,,,,,,
26,2,,,,,,
26,3,,,,,,
27,1,"रामः पठति।
कृष्णः शयनं करोति।","rāmaḥ paṭhati.
kr̥ṣṇaḥ śayanaṁ karōti.",,,,
27,2,"उत्तर प्रदेश , बिहार और झारखंड की पुलिस उसे पिछले एक दशक से तलाश रही थी .
word: तलाश        head: ROOT","uttara pradēśa , bihāra aura jhārakhaṁḍa kī pulisa usē pichalē ēka daśaka sē talāśa rahī thī .
word: talāśa head: root",,,,
27,3,"ಏನಾದರು ನೀನು ಇಚ್ಛಿಸಿದರೆ ನಾನು ನಿಮ್ಮ ಮನೆಗೆ ಬರುತ್ತೇನೆ.  ಬರುತ್ತೇನೆ- will come. Ēnādaru nīnu icchisidare nānu nim'ma manege baruttēne. Baruttēne- will come.
","ēnādaru nīnu icchisidare nānu nimma manege baruttēne. baruttēne- will come. Ēnādaru nīnu icchisidare nānu nim'ma manege baruttēne. Baruttēne- will come.
",,,,
28,1, ,,,,,
28,2,"खंडपीठ ने अपने फैसले में इन तीनों को एक महीने के अंदर सामूहिक रूप से ३७,००० रुपये लौटाने के आदेश दिए हैं ।

word: रूप        head: लौटाने
","khaṁḍapīṭha nē apanē phaisalē mēṁ ina tīnōṁ kō ēka mahīnē kē aṁdara sāmūhika rūpa sē 37,000 rupayē lauṭānē kē ādēśa diē haiṁ .

word: rūpa head: lauṭānē
","Training support - 1960
Test support - 206
Accuracy - 73.3%",,,
28,3,"ಆನೆಯು ಮಾರ್ಗದಲ್ಲಿ ನಿಧಾನವಾಗಿ ಹೋಗುತ್ತದೆ       ನಿಧಾನ- slow   Āneyu mārgadalli nidhānavāgi hōguttade    Word: Head:
","āneyu mārgadalli nidhānavāgi hōguttade nidhāna- slow Āneyu mārgadalli nidhānavāgi hōguttade Word: Head:
","Training support -
Test support -
Accuracy - ",,,
29,1,न खादतु।,na khādatu.,,,,
29,2,मत खाओ।,mata khāō.,,,,
29,3,,,,,,
30,1,मनुष्यः न सिंहः । घटः न अस्ति।,manuṣyaḥ na siṁhaḥ . ghaṭaḥ na asti.,,,,
30,2,मनुष्य है सिंह नही।,manuṣya hai siṁha nahī.,,,,
30,3,,,,,,
31,1,फलाय वनं गच्छामि।,phalāya vanaṁ gacchāmi.,,,,
31,2,"कांग्रेस ने भी इसका विरोध इसलिए किया कि उसमें पर्याप्त संरक्षण उपाय नहीं किए गए थे ।
word: नहीं	head: किए","kāṁgrēsa nē bhī isakā virōdha isaliē kiyā ki usamēṁ paryāpta saṁrakṣaṇa upāya nahīṁ kiē gaē thē .
word: nahīṁ head: kiē","Training support - 1945
Test support - 199
Accuracy - 100

(not present in kannada data)",,,
31,3,"ಘಟವು ಇಲ್ಲ. ಇಲ್ಲ - is not there. Ghaṭavu illa. Illa - is not there. illa = न iru (अस्)
Kannada one word only. Bangla may or may not be one word depending on lakara.न can be translated as alla and illa.","ghaṭavu illa. illa - is not there. Ghaṭavu illa. Illa - is not there. illa = न iru (अस्)
Kannada one word only. Bangla may or may not be one word depending on lakara.न can be translated as alla and illa.",no example,,,
32,1,"यदि त्वं इच्छसि तर्हि अहं भवतः गृहं आगमिष्यामि। इच्छसि-अनुयोगी यदि-अनुयोगीmarker, आगमिष्यामि-प्रतियोगी तर्हि-प्रतियोगीmarker ","yadi tvaṁ icchasi tarhi ahaṁ bhavataḥ gr̥haṁ āgamiṣyāmi. icchasi-anuyōgī yadi-anuyōgīmarker, āgamiṣyāmi-pratiyōgī tarhi-pratiyōgīmarker",,,,
32,2,"इस नक्सली नेता से पूछताछ के लिए उत्तर प्रदेश और झारखंड से भी एसटीएफ के लोग आ रहे हैं .
word: नेता        head: पूछताछ","isa naksalī nētā sē pūchatācha kē liē uttara pradēśa aura jhārakhaṁḍa sē bhī ēsaṭīēpha kē lōga ā rahē haiṁ .
word: nētā head: pūchatācha",,,,
32,3,,,,,,
33,1,"यदि त्वं इच्छसि तर्हि अहं भवतः गृहं आगमिष्यामि। इच्छसि-अनुयोगी यदि-अनुयोगीmarker, आगमिष्यामि-प्रतियोगी तर्हि-प्रतियोगीmarker ","yadi tvaṁ icchasi tarhi ahaṁ bhavataḥ gr̥haṁ āgamiṣyāmi. icchasi-anuyōgī yadi-anuyōgīmarker, āgamiṣyāmi-pratiyōgī tarhi-pratiyōgīmarker",,,,
33,2,यदि आप चाहे तो मै आप के घर आऊंगा। ,yadi āpa cāhē tō mai āpa kē ghara āūṁgā.,,,,
33,3,,,,,,
34,1,"यदि त्वं इच्छसि तर्हि अहं भवतः गृहं आगमिष्यामि। इच्छसि-अनुयोगी यदि-अनुयोगीmarker, आगमिष्यामि-प्रतियोगी तर्हि-प्रतियोगीmarker ","yadi tvaṁ icchasi tarhi ahaṁ bhavataḥ gr̥haṁ āgamiṣyāmi. icchasi-anuyōgī yadi-anuyōgīmarker, āgamiṣyāmi-pratiyōgī tarhi-pratiyōgīmarker",,,,
34,2,यदि आप चाहे तो मै आप के घर आऊंगा। ,yadi āpa cāhē tō mai āpa kē ghara āūṁgā.,"Training support - 14089
Test support - 1804
Accuracy - 97.78",,,
34,3,"ಏನಾದರು ನೀನು ಇಚ್ಛಿಸಿದರೆ ನಾನು ನಿಮ್ಮ ಮನೆಗೆ ಬರುತ್ತೇನೆ.  ಬರುತ್ತೇನೆ- will come. Ēnādaru nīnu icchisidare nānu nim'ma manege baruttēne. Baruttēne- will come.
","ēnādaru nīnu icchisidare nānu nimma manege baruttēne. baruttēne- will come. Ēnādaru nīnu icchisidare nānu nim'ma manege baruttēne. Baruttēne- will come.
",,,,
